item_id,order_status,created_at,stock_keeping_unit,price,qty_ordered,grand_total,increment_id,product_category,sales_commission_code,discount_amount,payment_method,BI Status,market_value,Customer Since,Customer ID
211133,canceled,2016-07-01,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240.0,1,240.0,100147444,Beauty & Grooming,Unknown,0.0,Cash_on_delivery,Gross,240,2016-07-01,2
211134,canceled,2016-07-01,Ego_UP0017-999-MR0,2450.0,1,2450.0,100147445,Women's Fashion,Unknown,0.0,Cash_on_delivery,Gross,2450,2016-07-01,3
211135,completed,2016-07-01,kcc_krone deal,360.0,1,60.0,100147446,Beauty & Grooming,R-FSD-52352,300.0,Cash_on_delivery,Net,360,2016-07-01,4
211136,refund,2016-07-01,BK7010400AG,555.0,2,1110.0,100147447,Soghaat,Unknown,0.0,Cash_on_delivery,Valid,1110,2016-07-01,5
211137,canceled,2016-07-01,UK_Namkino All In One 200 Gms,80.0,1,80.0,100147448,Soghaat,Unknown,0.0,Cash_on_delivery,Gross,80,2016-07-01,6
211138,completed,2016-07-01,kcc_krone deal,360.0,1,60.0,100147449,Beauty & Grooming,Unknown,300.0,Cash_on_delivery,Net,360,2016-07-01,7
211139,completed,2016-07-01,UK_Namkino Mix Nimco 400 Gms,170.0,1,170.0,100147450,Soghaat,Unknown,0.0,Cash_on_delivery,Net,170,2016-07-01,6
211140,canceled,2016-07-01,Apple iPhone 6S 64GB,96499.0,1,96499.0,100147451,Mobiles & Tablets,Unknown,0.0,Bank or Card,Gross,96499,2016-07-01,8
211141,canceled,2016-07-01,Apple iPhone 6S 64GB,96499.0,1,96499.0,100147452,Mobiles & Tablets,Unknown,0.0,Others,Gross,96499,2016-07-01,8
211142,completed,2016-07-01,"GFC_Pedestal Myga Cross Base (Special Guard) 24""",5500.0,1,5500.0,100147453,Appliances,Unknown,0.0,Cash_on_delivery,Net,5500,2016-07-01,9
211143,completed,2016-07-01,BK1070200PL,210.0,1,366.0,100147454,Soghaat,Unknown,0.0,Cash_on_delivery,Valid,210,2016-07-01,10
211144,completed,2016-07-01,BK1130200CF,156.0,1,366.0,100147454,Soghaat,Unknown,0.0,Cash_on_delivery,Valid,156,2016-07-01,10
211145,completed,2016-07-01,kcc_Sultanat,120.0,1,120.0,100147455,Home & Living,105259,0.0,Bank or Card,Net,120,2016-07-01,11
211146,completed,2016-07-01,kcc_glamour deal,320.0,1,0.0,100147456,Beauty & Grooming,Unknown,0.0,Others,Net,320,2016-07-01,12
211147,canceled,2016-07-01,Assetmen_MD-346-M,1550.0,1,1550.0,100147457,Men's Fashion,105259,0.0,Bank or Card,Gross,1550,2016-07-01,11
211149,completed,2016-07-01,cr_DATES WITH CASHEW-400 GM,420.0,1,1270.0,100147458,Soghaat,R-KHW-104406,0.0,Cash_on_delivery,Net,420,2016-07-01,13
211150,completed,2016-07-01,UK_Gift Box Mix Dry Fruit Sweets 500 Gms,360.0,1,1270.0,100147458,Soghaat,R-KHW-104406,0.0,Cash_on_delivery,Net,360,2016-07-01,13
211151,completed,2016-07-01,itter_AB 1199,490.0,1,1270.0,100147458,Beauty & Grooming,R-KHW-104406,0.0,Cash_on_delivery,Net,490,2016-07-01,13
211152,canceled,2016-07-01,RL_B005,899.25,1,2118.25,100147459,Home & Living,Unknown,0.0,Cash_on_delivery,Gross,899,2016-07-01,14
211153,canceled,2016-07-01,bed&rest_S7,899.0,1,2118.25,100147459,Home & Living,Unknown,0.0,Cash_on_delivery,Gross,899,2016-07-01,14
211154,canceled,2016-07-01,L&L_LLHLE8224S,320.0,1,2118.25,100147459,Home & Living,Unknown,0.0,Cash_on_delivery,Gross,320,2016-07-01,14
211155,completed,2016-07-01,J&J_JJR-4,149.0,1,298.0,100147460,Kids & Baby,Unknown,0.0,Cash_on_delivery,Net,149,2016-07-01,15
211156,completed,2016-07-01,J&J_JJR-20,149.0,1,298.0,100147460,Kids & Baby,Unknown,0.0,Cash_on_delivery,Net,149,2016-07-01,15
211157,refund,2016-07-01,D Lend a Helping Hand,1000.0,1,0.0,100147461,Others,Unknown,0.0,Others,Valid,1000,2016-07-01,16
211158,refund,2016-07-01,Mochika_M0001112-12,1913.0,1,3826.0,100147462,Men's Fashion,Unknown,0.0,Cash_on_delivery,Valid,1913,2016-07-01,17
211160,refund,2016-07-01,Mochika_M0001112-8,1913.0,1,3826.0,100147462,Men's Fashion,Unknown,0.0,Cash_on_delivery,Valid,1913,2016-07-01,17
211162,completed,2016-07-01,SKMT_Blood Test,500.0,1,0.0,100147463,Others,Unknown,0.0,Others,Net,500,2016-07-01,16
211163,completed,2016-07-01,SKMT_Medicine,100.0,5,0.0,100147463,Others,Unknown,0.0,Others,Net,500,2016-07-01,16
211164,canceled,2016-07-01,sputnik_701/5-11,1500.0,2,3000.0,100147464,Men's Fashion,Unknown,0.0,Cash_on_delivery,Gross,3000,2016-07-01,18
211166,completed,2016-07-01,Ctees-Black Zip- Up Hoodie-XL,450.0,1,450.0,100147465,Kids & Baby,Unknown,0.0,Cash_on_delivery,Net,450,2016-07-01,19
211168,completed,2016-07-01,Samsung Galaxy J5,20999.0,1,20999.0,100147466,Mobiles & Tablets,R-FSD-58130,0.0,Cash_on_delivery,Net,20999,2016-07-01,20
211169,completed,2016-07-01,kcc_krone deal,360.0,1,360.0,100147467,Beauty & Grooming,R-FSD-58130,0.0,Cash_on_delivery,Net,360,2016-07-01,20
211170,refund,2016-07-01,Veet_4,165.0,1,300.0,100147468,Beauty & Grooming,Unknown,82.5,Cash_on_delivery,Valid,165,2016-07-01,21
211171,refund,2016-07-01,RS_Gulab jaman Tin,435.0,1,300.0,100147468,Soghaat,Unknown,217.5,Cash_on_delivery,Valid,435,2016-07-01,21
211172,canceled,2016-07-01,cr_PEANUT SALTY-200 GM,90.0,1,940.0,100147469,Soghaat,Unknown,0.0,Cash_on_delivery,Gross,90,2016-07-01,22
211173,canceled,2016-07-01,Oriflame_21557,850.0,1,940.0,100147469,Beauty & Grooming,Unknown,0.0,Cash_on_delivery,Gross,850,2016-07-01,22
211174,completed,2016-07-01,JBS_TAT-128,3672.0,1,3672.0,100147470,Home & Living,Unknown,0.0,Cash_on_delivery,Net,3672,2016-07-01,23
211175,completed,2016-07-01,cr_PEANUT SALTY-200 GM,90.0,1,740.0,100147471,Soghaat,Unknown,19.15,Cash_on_delivery,Net,90,2016-07-01,22
211176,completed,2016-07-01,Oriflame_21557,850.0,1,740.0,100147471,Beauty & Grooming,Unknown,180.85,Cash_on_delivery,Net,850,2016-07-01,22
211177,refund,2016-07-01,Ajmery_BRR-590-M,899.0,1,899.0,100147472,Men's Fashion,Unknown,0.0,Cash_on_delivery,Valid,899,2016-07-01,24
211179,canceled,2016-07-01,HOS_GUCFW75,7400.0,1,11000.0,100147473,Beauty & Grooming,Unknown,0.0,Others,Gross,7400,2016-07-01,25
211180,canceled,2016-07-01,Lexon_LL116B-Blue,3600.0,1,11000.0,100147473,Mobiles & Tablets,Unknown,0.0,Others,Gross,3600,2016-07-01,25
